"ego_id","alter_id","ego_section","alter_section"
8,38,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
8,17,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
8,23,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
8,48,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
8,36,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,9,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,24,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,57,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,37,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,29,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,58,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,19,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,21,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
9,49,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,18,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,54,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,61,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
9,34,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
9,46,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,46,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
10,5,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
10,51,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
10,12,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
10,44,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
10,29,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
10,2,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
10,42,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
10,52,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
10,56,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
10,34,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
10,59,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
10,30,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
11,63,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
11,12,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
11,37,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
11,58,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
11,19,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
11,21,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
11,49,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
11,50,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
11,46,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
11,4,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
11,48,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
11,20,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
12,5,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
12,51,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
12,11,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
12,44,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
12,58,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
12,19,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
12,21,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
12,2,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
12,49,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
12,42,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
12,10,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
12,17,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
12,7,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
12,34,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
13,63,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
13,9,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
13,35,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
13,64,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
13,15,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
13,58,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
13,18,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
13,46,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
13,48,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,6,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,47,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,35,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,44,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,15,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,37,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,8,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,29,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,21,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,26,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,2,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,28,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,49,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,3,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,66,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,50,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,22,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,42,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,39,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,53,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,61,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,52,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,33,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,1,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,46,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,4,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,48,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
14,59,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,25,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,20,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,30,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
14,62,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
15,6,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
